# tag=p98304_s11 N=98304 epochs=8000 mut=262144 rngseed=11 seedfrac=0.000
# epoch	selfcopy%	entropy4
0	0.000	0.9972
25	0.000	0.9942
50	0.000	0.9923
75	0.000	0.9901
100	0.000	0.9880
125	0.000	0.9853
150	0.000	0.9846
175	0.100	0.9825
200	0.000	0.9805
225	0.000	0.9810
250	0.000	0.9795
275	0.000	0.9791
300	0.000	0.9781
325	0.000	0.9742
350	0.000	0.9739
375	0.000	0.9739
400	0.000	0.9723
425	0.000	0.9704
450	0.000	0.9709
475	0.050	0.9689
500	0.000	0.9699
525	0.000	0.9683
550	0.000	0.9671
575	0.000	0.9659
600	0.000	0.9701
625	0.000	0.9689
650	0.000	0.9645
675	0.000	0.9643
700	0.000	0.9637
725	0.050	0.9632
750	0.000	0.9629
775	0.000	0.9622
800	0.000	0.9652
825	0.000	0.9608
850	0.000	0.9645
875	0.000	0.9617
900	0.050	0.9627
925	0.000	0.9586
950	0.000	0.9623
975	0.000	0.9618
1000	0.000	0.9623
1025	0.000	0.9614
1050	0.000	0.9601
1075	0.000	0.9614
1100	0.000	0.9612
1125	0.000	0.9613
1150	0.000	0.9613
1175	0.000	0.9609
1200	0.000	0.9583
1225	0.000	0.9570
1250	0.050	0.9576
1275	0.000	0.9537
1300	0.000	0.9562
1325	0.000	0.9575
1350	0.000	0.9554
1375	0.000	0.9555
1400	0.000	0.9564
1425	0.000	0.9558
1450	0.000	0.9539
1475	0.000	0.9538
1500	0.000	0.9570
1525	0.000	0.9556
1550	0.100	0.9564
1575	0.000	0.9559
1600	0.100	0.9533
1625	0.000	0.9564
1650	0.000	0.9509
1675	0.000	0.9521
1700	0.000	0.9540
1725	0.000	0.9526
1750	0.000	0.9534
1775	0.000	0.9518
1800	0.000	0.9539
1825	0.000	0.9525
1850	0.000	0.9512
1875	0.000	0.9526
1900	0.000	0.9513
1925	0.000	0.9533
1950	0.000	0.9524
1975	0.000	0.9518
2000	0.000	0.9545
2025	0.100	0.9514
2050	0.000	0.9519
2075	0.050	0.9527
2100	0.000	0.9526
2125	0.000	0.9516
2150	0.000	0.9521
2175	0.000	0.9508
2200	0.000	0.9539
2225	0.000	0.9556
2250	0.000	0.9529
2275	0.000	0.9503
2300	0.000	0.9536
2325	0.000	0.9517
2350	0.000	0.9507
2375	0.000	0.9534
2400	0.050	0.9531
2425	0.050	0.9509
2450	0.000	0.9520
2475	0.000	0.9520
2500	0.000	0.9531
2525	0.000	0.9517
2550	0.300	0.9519
2575	0.750	0.9479
2600	1.600	0.9304
2625	5.200	0.8694
2650	8.800	0.7831
2675	12.450	0.7111
2700	13.500	0.6760
2725	12.500	0.6672
2750	13.300	0.6655
2775	11.650	0.6607
2800	11.350	0.6638
2825	10.250	0.6649
2850	8.550	0.6703
2875	8.000	0.6701
2900	7.300	0.6710
2925	7.200	0.6747
2950	8.000	0.6780
2975	6.600	0.6790
3000	5.850	0.6810
3025	5.800	0.6813
3050	5.350	0.6870
3075	5.050	0.6918
3100	4.050	0.6932
3125	4.250	0.6941
3150	3.550	0.7007
3175	2.800	0.7027
3200	3.750	0.7036
3225	2.800	0.7070
3250	2.600	0.7115
3275	2.850	0.7127
3300	2.150	0.7168
3325	1.650	0.7177
