# tag=p163840_s5 N=163840 epochs=8000 mut=262144 rngseed=5 seedfrac=0.000
# epoch	selfcopy%	entropy4
0	0.000	0.9973
25	0.000	0.9951
50	0.000	0.9918
75	0.050	0.9901
100	0.000	0.9884
125	0.000	0.9889
150	0.000	0.9854
175	0.000	0.9836
200	0.000	0.9813
225	0.050	0.9794
250	0.000	0.9805
275	0.000	0.9786
300	0.000	0.9792
325	0.050	0.9752
350	0.000	0.9742
375	0.000	0.9730
400	0.000	0.9736
425	0.000	0.9732
450	0.000	0.9703
475	0.000	0.9703
500	0.000	0.9694
525	0.000	0.9686
550	0.000	0.9696
575	0.050	0.9677
600	0.000	0.9647
625	0.000	0.9693
650	0.000	0.9658
675	0.000	0.9681
700	0.000	0.9655
725	0.000	0.9668
750	0.000	0.9632
775	0.000	0.9623
800	0.000	0.9625
825	0.000	0.9630
850	0.000	0.9619
875	0.050	0.9632
900	0.000	0.9619
925	0.000	0.9638
950	0.050	0.9633
975	0.000	0.9643
1000	0.000	0.9600
1025	0.000	0.9604
1050	0.000	0.9554
1075	0.000	0.9595
1100	0.000	0.9607
1125	0.000	0.9617
1150	0.000	0.9604
1175	0.000	0.9600
1200	0.000	0.9593
1225	0.050	0.9596
1250	0.000	0.9562
1275	0.000	0.9574
1300	0.050	0.9592
1325	0.000	0.9606
1350	0.000	0.9581
1375	0.050	0.9568
1400	0.000	0.9582
1425	0.000	0.9589
1450	0.000	0.9568
1475	0.000	0.9564
1500	0.000	0.9576
1525	0.000	0.9578
1550	0.000	0.9568
1575	0.000	0.9554
1600	0.000	0.9575
1625	0.000	0.9537
1650	0.000	0.9579
1675	0.000	0.9562
1700	0.050	0.9531
1725	0.000	0.9542
1750	0.000	0.9535
1775	0.000	0.9545
1800	0.000	0.9557
1825	0.050	0.9515
1850	0.000	0.9530
1875	0.000	0.9537
1900	0.000	0.9509
1925	0.000	0.9549
1950	0.000	0.9553
1975	0.000	0.9532
2000	0.000	0.9582
2025	0.000	0.9555
2050	0.000	0.9555
2075	0.000	0.9530
2100	0.000	0.9549
2125	0.000	0.9531
2150	0.000	0.9546
2175	0.050	0.9555
2200	0.000	0.9526
2225	0.000	0.9543
2250	0.000	0.9525
2275	0.050	0.9533
2300	0.000	0.9508
2325	0.000	0.9517
2350	0.000	0.9548
2375	0.000	0.9521
2400	0.000	0.9553
2425	0.050	0.9514
2450	0.000	0.9544
2475	0.000	0.9563
2500	0.000	0.9521
2525	0.000	0.9547
2550	0.000	0.9546
2575	0.100	0.9556
2600	0.000	0.9555
2625	0.050	0.9548
2650	0.050	0.9556
2675	0.000	0.9552
2700	0.000	0.9543
2725	0.050	0.9548
2750	0.000	0.9560
2775	0.000	0.9568
2800	0.050	0.9566
2825	0.000	0.9576
2850	0.000	0.9572
2875	0.000	0.9571
2900	0.000	0.9549
2925	0.000	0.9544
2950	0.000	0.9549
2975	0.000	0.9586
3000	0.000	0.9566
3025	0.000	0.9579
3050	0.000	0.9578
3075	0.000	0.9570
3100	0.050	0.9564
3125	0.000	0.9549
3150	0.000	0.9576
3175	0.000	0.9575
3200	0.000	0.9576
3225	0.000	0.9563
3250	0.000	0.9581
3275	0.050	0.9575
3300	0.000	0.9588
3325	0.000	0.9590
3350	0.000	0.9562
3375	0.050	0.9582
3400	0.000	0.9605
3425	0.000	0.9611
3450	0.000	0.9586
3475	0.000	0.9586
3500	0.000	0.9582
3525	0.000	0.9605
3550	0.000	0.9586
3575	0.000	0.9593
3600	0.000	0.9598
3625	0.000	0.9581
3650	0.000	0.9589
3675	0.000	0.9588
3700	0.000	0.9584
3725	0.100	0.9608
3750	0.000	0.9604
3775	0.000	0.9596
3800	0.000	0.9600
3825	0.050	0.9590
3850	0.000	0.9593
3875	0.000	0.9583
3900	0.050	0.9617
3925	0.000	0.9606
3950	0.000	0.9593
3975	0.000	0.9589
4000	0.000	0.9596
4025	0.000	0.9585
4050	0.000	0.9600
4075	0.050	0.9604
4100	0.000	0.9590
4125	0.000	0.9592
4150	0.000	0.9591
4175	0.000	0.9603
4200	0.050	0.9601
4225	0.000	0.9597
4250	0.000	0.9598
4275	0.000	0.9601
4300	0.000	0.9575
4325	0.000	0.9594
4350	0.050	0.9597
4375	0.000	0.9598
4400	0.000	0.9601
4425	0.000	0.9599
4450	0.000	0.9580
4475	0.000	0.9589
4500	0.000	0.9615
4525	0.000	0.9585
4550	0.000	0.9601
4575	0.000	0.9580
4600	0.000	0.9591
4625	0.000	0.9595
4650	0.000	0.9607
4675	0.000	0.9602
4700	0.000	0.9586
4725	0.000	0.9587
4750	0.000	0.9600
4775	0.050	0.9604
4800	0.000	0.9584
4825	0.000	0.9589
4850	0.000	0.9605
4875	0.000	0.9600
4900	0.000	0.9590
4925	0.000	0.9598
4950	0.000	0.9612
4975	0.000	0.9591
5000	0.000	0.9604
5025	0.000	0.9588
5050	0.000	0.9584
5075	0.000	0.9586
5100	0.000	0.9600
5125	0.000	0.9604
5150	0.000	0.9588
5175	0.000	0.9591
5200	0.000	0.9592
5225	0.000	0.9611
5250	0.000	0.9576
5275	0.000	0.9595
5300	0.000	0.9581
5325	0.000	0.9594
5350	0.000	0.9615
5375	0.000	0.9573
5400	0.000	0.9596
5425	0.000	0.9582
5450	0.000	0.9580
5475	0.000	0.9603
5500	0.000	0.9595
5525	0.000	0.9584
5550	0.000	0.9597
5575	0.000	0.9600
5600	0.000	0.9588
5625	0.000	0.9584
5650	0.000	0.9596
5675	0.000	0.9584
5700	0.000	0.9565
5725	0.050	0.9573
5750	0.000	0.9564
5775	0.050	0.9601
5800	0.000	0.9570
5825	0.000	0.9562
5850	0.050	0.9575
5875	0.000	0.9576
5900	0.000	0.9589
5925	0.100	0.9561
5950	0.000	0.9578
5975	0.000	0.9566
6000	0.000	0.9576
6025	0.000	0.9561
6050	0.000	0.9595
6075	0.000	0.9584
6100	0.000	0.9567
6125	0.000	0.9561
6150	0.000	0.9575
6175	0.000	0.9548
6200	0.000	0.9587
6225	0.050	0.9559
6250	0.000	0.9570
6275	0.000	0.9576
6300	0.050	0.9567
6325	0.000	0.9587
6350	0.000	0.9563
6375	0.000	0.9577
6400	0.000	0.9564
6425	0.000	0.9590
6450	0.000	0.9575
6475	0.000	0.9567
6500	0.000	0.9589
6525	0.000	0.9572
6550	0.050	0.9583
6575	0.000	0.9566
6600	0.000	0.9590
6625	0.000	0.9568
6650	0.050	0.9566
6675	0.000	0.9576
6700	0.000	0.9564
6725	0.000	0.9575
6750	0.000	0.9565
6775	0.000	0.9574
6800	0.000	0.9571
6825	0.050	0.9571
6850	0.000	0.9567
6875	0.000	0.9570
6900	0.000	0.9553
6925	0.000	0.9569
6950	0.000	0.9556
6975	0.000	0.9565
7000	0.050	0.9566
7025	0.000	0.9570
7050	0.000	0.9564
7075	0.000	0.9556
7100	0.000	0.9570
7125	0.000	0.9574
7150	0.000	0.9560
7175	0.050	0.9557
7200	0.000	0.9557
7225	0.000	0.9547
7250	0.000	0.9560
7275	0.000	0.9564
7300	0.000	0.9569
7325	0.000	0.9561
7350	0.000	0.9578
7375	0.000	0.9566
7400	0.050	0.9572
7425	0.000	0.9554
7450	0.050	0.9549
7475	0.050	0.9566
7500	0.000	0.9564
7525	0.050	0.9563
7550	0.000	0.9569
7575	0.000	0.9563
7600	0.000	0.9549
7625	0.000	0.9546
7650	0.000	0.9541
7675	0.000	0.9566
7700	0.000	0.9562
7725	0.000	0.9564
7750	0.000	0.9554
7775	0.000	0.9565
7800	0.000	0.9554
7825	0.000	0.9568
7850	0.000	0.9563
7875	0.000	0.9563
7900	0.000	0.9558
7925	0.000	0.9539
7950	0.000	0.9550
7975	0.000	0.9566
8000	0.050	0.9565
