# tag=r2p17_s3 N=131072 epochs=5000 mut=262144 rngseed=3 seedfrac=0.000
# epoch	selfcopy%	entropy4
0	0.050	0.9974
25	0.000	0.9941
50	0.000	0.9921
75	0.000	0.9895
100	0.000	0.9874
125	0.000	0.9862
150	0.000	0.9832
175	0.000	0.9811
200	0.000	0.9813
225	0.000	0.9790
250	0.000	0.9780
275	0.000	0.9775
300	0.000	0.9767
325	0.000	0.9748
350	0.000	0.9720
375	0.000	0.9716
400	0.000	0.9718
425	0.050	0.9703
450	0.000	0.9698
475	0.000	0.9687
500	0.050	0.9693
525	0.000	0.9711
550	0.000	0.9675
575	0.000	0.9674
600	0.000	0.9657
625	0.000	0.9669
650	0.000	0.9650
675	0.000	0.9657
700	0.000	0.9629
725	0.000	0.9629
750	0.050	0.9624
775	0.050	0.9639
800	0.000	0.9624
825	0.050	0.9607
850	0.000	0.9638
875	0.000	0.9631
900	0.000	0.9621
925	0.050	0.9608
950	0.000	0.9603
975	0.000	0.9610
1000	0.000	0.9581
1025	0.000	0.9590
1050	0.000	0.9602
1075	0.000	0.9560
1100	0.000	0.9617
1125	0.000	0.9602
1150	0.000	0.9591
1175	0.000	0.9573
1200	0.100	0.9558
1225	0.300	0.9533
1250	0.550	0.9392
1275	0.550	0.9324
1300	0.350	0.9269
1325	0.250	0.9275
1350	0.300	0.9258
1375	0.500	0.9301
1400	0.500	0.9319
1425	0.350	0.9312
1450	0.350	0.9347
1475	0.150	0.9361
1500	0.250	0.9368
1525	0.350	0.9411
1550	0.350	0.9379
1575	0.250	0.9395
1600	0.100	0.9417
1625	0.400	0.9426
1650	0.050	0.9454
1675	0.200	0.9438
1700	0.250	0.9473
1725	0.300	0.9471
1750	0.050	0.9475
1775	0.200	0.9495
1800	0.150	0.9498
1825	0.050	0.9528
1850	0.100	0.9512
1875	0.050	0.9517
1900	0.050	0.9507
1925	0.000	0.9531
1950	0.200	0.9545
1975	0.050	0.9538
2000	0.100	0.9554
2025	0.050	0.9554
2050	0.000	0.9567
2075	0.000	0.9561
2100	0.000	0.9552
2125	0.000	0.9569
2150	0.000	0.9574
2175	0.100	0.9581
2200	0.050	0.9566
2225	0.050	0.9571
2250	0.050	0.9565
2275	0.000	0.9585
2300	0.000	0.9557
2325	0.000	0.9594
2350	0.000	0.9589
2375	0.000	0.9551
2400	0.000	0.9578
2425	0.000	0.9570
2450	0.100	0.9581
2475	0.000	0.9593
2500	0.000	0.9606
2525	0.000	0.9604
2550	0.000	0.9602
2575	0.050	0.9580
2600	0.050	0.9588
2625	0.200	0.9594
2650	6.500	0.9195
2675	15.550	0.7323
2700	8.400	0.7331
2725	5.900	0.7545
2750	3.350	0.7690
2775	2.450	0.7764
2800	2.600	0.7846
2825	3.500	0.7823
2850	5.400	0.7643
2875	14.800	0.7558
2900	32.550	0.7183
2925	63.800	0.6492
2950	82.850	0.6138
2975	89.150	0.6021
3000	89.000	0.6057
3025	88.250	0.6068
3050	88.200	0.6101
3075	88.950	0.6147
3100	87.600	0.6155
3125	88.250	0.6233
3150	88.800	0.6251
3175	88.250	0.6312
3200	87.450	0.6365
3225	88.650	0.6385
3250	88.300	0.6401
3275	87.100	0.6446
3300	87.550	0.6478
3325	87.200	0.6521
3350	86.250	0.6570
3375	85.300	0.6576
3400	84.800	0.6600
3425	84.150	0.6613
3450	84.950	0.6651
3475	84.150	0.6678
3500	84.950	0.6708
3525	83.450	0.6743
3550	83.600	0.6779
3575	82.450	0.6788
3600	83.350	0.6827
3625	83.500	0.6846
3650	82.350	0.6866
3675	81.750	0.6886
3700	83.900	0.6912
3725	83.550	0.6945
3750	83.100	0.6958
3775	84.500	0.6952
3800	84.100	0.6995
3825	86.300	0.7014
3850	84.150	0.7010
3875	84.900	0.7030
3900	85.850	0.7026
3925	86.350	0.7014
3950	87.450	0.7006
3975	88.050	0.7001
4000	87.500	0.6970
4025	89.400	0.6940
4050	90.400	0.6926
4075	90.700	0.6885
4100	89.550	0.6855
4125	90.900	0.6850
4150	89.100	0.6843
4175	89.000	0.6851
4200	89.750	0.6859
4225	90.050	0.6836
4250	91.200	0.6814
4275	91.850	0.6798
4300	90.650	0.6788
4325	88.850	0.6807
4350	89.600	0.6793
4375	89.150	0.6794
4400	88.500	0.6773
4425	88.050	0.6760
4450	87.100	0.6773
4475	87.800	0.6741
4500	88.050	0.6784
4525	87.550	0.6794
4550	88.050	0.6831
4575	88.800	0.6833
4600	88.150	0.6851
4625	87.900	0.6877
4650	85.900	0.6906
4675	89.650	0.6912
4700	88.950	0.6917
4725	87.700	0.6911
4750	87.450	0.6948
4775	85.850	0.6963
4800	86.100	0.6978
4825	85.400	0.7000
4850	85.650	0.7018
4875	86.500	0.7030
4900	86.500	0.7046
4925	88.750	0.7087
4950	88.100	0.7086
4975	86.950	0.7108
5000	86.550	0.7101
