# tag=p163840_s2 N=163840 epochs=8000 mut=262144 rngseed=2 seedfrac=0.000
# epoch	selfcopy%	entropy4
0	0.050	0.9980
25	0.000	0.9952
50	0.000	0.9926
75	0.000	0.9905
100	0.000	0.9891
125	0.000	0.9873
150	0.000	0.9850
175	0.000	0.9831
200	0.000	0.9829
225	0.000	0.9819
250	0.000	0.9829
275	0.000	0.9776
300	0.000	0.9789
325	0.100	0.9774
350	0.000	0.9744
375	0.000	0.9732
400	0.000	0.9747
425	0.000	0.9725
450	0.000	0.9709
475	0.000	0.9702
500	0.000	0.9734
525	0.000	0.9693
550	0.000	0.9711
575	0.000	0.9697
600	0.000	0.9682
625	0.000	0.9674
650	0.000	0.9679
675	0.000	0.9633
700	0.050	0.9640
725	0.000	0.9655
750	0.000	0.9669
775	0.000	0.9652
800	0.000	0.9649
825	0.000	0.9684
850	0.000	0.9627
875	0.000	0.9635
900	0.000	0.9620
925	0.000	0.9614
950	0.050	0.9638
975	0.000	0.9612
1000	0.000	0.9592
1025	0.000	0.9621
1050	0.000	0.9613
1075	0.050	0.9607
1100	0.100	0.9593
1125	0.000	0.9566
1150	0.000	0.9596
1175	0.000	0.9595
1200	0.000	0.9608
1225	0.000	0.9614
1250	0.000	0.9607
1275	0.000	0.9594
1300	0.000	0.9574
1325	0.000	0.9580
1350	0.000	0.9576
1375	0.000	0.9576
1400	0.000	0.9569
1425	0.000	0.9558
1450	0.050	0.9585
1475	0.000	0.9579
1500	0.000	0.9526
1525	0.000	0.9567
1550	0.000	0.9545
1575	0.000	0.9530
1600	0.000	0.9566
1625	0.000	0.9524
1650	0.050	0.9547
1675	0.000	0.9528
1700	0.050	0.9522
1725	0.000	0.9534
1750	0.000	0.9530
1775	0.000	0.9522
1800	0.000	0.9580
1825	0.000	0.9512
1850	0.000	0.9528
1875	0.050	0.9534
1900	0.100	0.9525
1925	0.000	0.9563
1950	0.000	0.9563
1975	0.000	0.9524
2000	0.000	0.9536
2025	0.050	0.9491
2050	0.000	0.9534
2075	0.100	0.9581
2100	0.000	0.9523
2125	0.050	0.9533
2150	0.000	0.9565
2175	0.000	0.9548
2200	0.000	0.9535
2225	0.000	0.9527
2250	0.000	0.9534
2275	0.000	0.9541
2300	0.000	0.9529
2325	0.000	0.9563
2350	0.050	0.9539
2375	0.000	0.9544
2400	0.000	0.9543
2425	0.000	0.9536
2450	0.000	0.9508
2475	0.000	0.9537
2500	0.050	0.9540
2525	0.000	0.9522
2550	0.050	0.9548
2575	0.000	0.9559
2600	0.000	0.9532
2625	0.000	0.9537
2650	0.000	0.9526
2675	0.050	0.9541
2700	0.000	0.9543
2725	0.000	0.9554
2750	0.000	0.9544
2775	0.000	0.9557
2800	0.000	0.9534
2825	0.000	0.9542
2850	0.150	0.9559
2875	0.050	0.9557
2900	0.000	0.9566
2925	0.000	0.9561
