# tag=p98304_s10 N=98304 epochs=8000 mut=262144 rngseed=10 seedfrac=0.000
# epoch	selfcopy%	entropy4
0	0.000	0.9972
25	0.000	0.9928
50	0.000	0.9902
75	0.000	0.9880
100	0.000	0.9856
125	0.000	0.9863
150	0.000	0.9831
175	0.000	0.9798
200	0.000	0.9788
225	0.050	0.9781
250	0.000	0.9770
275	0.000	0.9782
300	0.000	0.9775
325	0.000	0.9754
350	0.000	0.9745
375	0.000	0.9730
400	0.100	0.9721
425	0.000	0.9727
450	0.050	0.9698
475	0.000	0.9675
500	0.000	0.9669
525	0.000	0.9686
550	0.000	0.9649
575	0.000	0.9661
600	0.000	0.9669
625	0.000	0.9644
650	0.050	0.9645
675	0.000	0.9646
700	0.000	0.9631
725	0.000	0.9646
750	0.000	0.9670
775	0.000	0.9620
800	0.050	0.9617
825	0.000	0.9588
850	0.000	0.9616
875	0.000	0.9599
900	0.000	0.9581
925	0.000	0.9595
950	0.050	0.9595
975	0.000	0.9602
1000	0.000	0.9569
1025	0.000	0.9584
1050	0.000	0.9586
1075	0.050	0.9588
1100	0.000	0.9570
1125	0.100	0.9577
1150	0.050	0.9576
1175	0.000	0.9583
1200	0.000	0.9577
1225	0.000	0.9566
1250	0.000	0.9601
1275	0.000	0.9578
1300	0.000	0.9593
1325	0.000	0.9564
1350	0.050	0.9539
1375	0.000	0.9564
1400	0.000	0.9585
1425	0.050	0.9551
1450	0.000	0.9584
1475	0.000	0.9564
1500	0.000	0.9548
1525	0.000	0.9535
1550	0.000	0.9582
1575	0.000	0.9550
1600	0.000	0.9553
1625	0.050	0.9547
1650	0.000	0.9552
1675	0.000	0.9539
1700	0.000	0.9548
1725	0.000	0.9535
1750	0.000	0.9519
1775	0.000	0.9562
1800	0.050	0.9531
1825	0.000	0.9551
1850	0.000	0.9531
1875	0.000	0.9533
1900	0.000	0.9536
1925	0.000	0.9524
1950	0.050	0.9570
1975	0.000	0.9549
2000	0.000	0.9528
2025	0.000	0.9536
2050	0.000	0.9509
2075	0.050	0.9560
2100	0.000	0.9531
2125	0.050	0.9563
2150	0.050	0.9550
2175	0.000	0.9513
2200	0.000	0.9554
2225	0.000	0.9562
2250	0.000	0.9543
2275	0.000	0.9553
2300	0.000	0.9552
2325	0.000	0.9517
2350	0.000	0.9536
2375	0.000	0.9518
2400	0.000	0.9515
2425	0.000	0.9541
2450	0.000	0.9545
2475	0.050	0.9548
2500	0.000	0.9540
2525	0.000	0.9536
2550	0.050	0.9530
2575	0.000	0.9534
2600	0.000	0.9537
2625	0.000	0.9536
2650	0.050	0.9532
2675	0.000	0.9530
2700	0.000	0.9528
2725	0.000	0.9523
2750	0.000	0.9541
2775	0.000	0.9557
2800	0.000	0.9537
2825	0.000	0.9538
2850	0.000	0.9507
2875	0.050	0.9558
2900	0.000	0.9557
2925	0.000	0.9542
2950	0.000	0.9565
2975	0.000	0.9552
3000	0.000	0.9537
3025	0.050	0.9561
3050	0.000	0.9550
3075	0.000	0.9562
3100	0.000	0.9530
3125	0.000	0.9573
3150	0.000	0.9551
3175	0.000	0.9533
3200	0.000	0.9567
3225	0.000	0.9550
3250	0.050	0.9563
3275	0.000	0.9554
3300	0.050	0.9562
3325	0.000	0.9566
3350	0.050	0.9565
3375	0.050	0.9565
3400	0.000	0.9552
3425	0.000	0.9583
3450	0.000	0.9597
3475	0.000	0.9565
3500	0.000	0.9580
3525	0.000	0.9579
3550	0.000	0.9583
3575	0.000	0.9592
3600	0.000	0.9572
3625	0.000	0.9573
3650	0.000	0.9596
3675	0.000	0.9584
3700	0.050	0.9563
3725	0.000	0.9573
3750	0.000	0.9590
3775	0.000	0.9593
3800	0.000	0.9579
3825	0.050	0.9570
3850	0.000	0.9586
3875	0.000	0.9570
3900	0.000	0.9587
3925	0.000	0.9572
3950	0.000	0.9581
3975	0.000	0.9586
4000	0.000	0.9579
4025	0.000	0.9562
4050	0.000	0.9581
4075	0.000	0.9603
4100	0.000	0.9558
4125	0.000	0.9585
4150	0.000	0.9583
4175	0.000	0.9601
4200	0.000	0.9604
4225	0.050	0.9561
4250	0.000	0.9594
4275	0.000	0.9587
4300	0.000	0.9587
4325	0.000	0.9575
4350	0.000	0.9590
4375	0.000	0.9591
4400	0.000	0.9602
4425	0.000	0.9598
4450	0.050	0.9595
4475	0.050	0.9610
4500	0.000	0.9588
4525	0.000	0.9591
4550	0.000	0.9585
4575	0.000	0.9590
4600	0.000	0.9593
4625	0.000	0.9573
4650	0.000	0.9575
4675	0.000	0.9595
4700	0.000	0.9585
4725	0.050	0.9567
4750	0.000	0.9603
4775	0.000	0.9584
4800	0.000	0.9597
4825	0.000	0.9606
4850	0.000	0.9587
4875	0.000	0.9584
4900	0.000	0.9586
4925	0.000	0.9582
4950	0.000	0.9604
4975	0.000	0.9584
5000	0.050	0.9584
5025	0.050	0.9599
5050	0.050	0.9604
5075	0.000	0.9574
5100	0.000	0.9596
5125	0.000	0.9593
5150	0.150	0.9612
5175	0.000	0.9605
5200	0.000	0.9586
5225	0.000	0.9592
5250	0.000	0.9587
5275	0.000	0.9593
5300	0.000	0.9589
5325	0.000	0.9592
5350	0.000	0.9579
5375	0.000	0.9598
5400	0.000	0.9584
5425	0.000	0.9583
5450	0.050	0.9585
5475	0.000	0.9594
5500	0.000	0.9601
5525	0.000	0.9593
5550	0.000	0.9592
5575	0.000	0.9581
5600	0.000	0.9588
5625	0.000	0.9583
5650	0.050	0.9586
5675	0.000	0.9585
5700	0.000	0.9597
5725	0.000	0.9568
5750	0.000	0.9580
5775	0.000	0.9573
5800	0.000	0.9584
5825	0.000	0.9594
5850	0.050	0.9580
5875	0.000	0.9588
5900	0.000	0.9570
5925	0.000	0.9587
5950	0.000	0.9572
5975	0.000	0.9579
6000	0.000	0.9590
6025	0.000	0.9589
6050	0.000	0.9588
6075	0.000	0.9582
6100	0.050	0.9585
6125	0.000	0.9582
6150	0.000	0.9571
6175	0.000	0.9566
6200	0.050	0.9569
6225	0.000	0.9581
6250	0.000	0.9588
6275	0.050	0.9579
6300	0.000	0.9574
6325	0.000	0.9571
6350	0.000	0.9589
6375	0.050	0.9585
6400	0.000	0.9601
6425	0.000	0.9581
6450	0.000	0.9578
6475	0.000	0.9572
6500	0.000	0.9578
6525	0.000	0.9597
6550	0.050	0.9580
6575	0.000	0.9593
6600	0.000	0.9586
6625	0.000	0.9579
6650	0.000	0.9568
6675	0.000	0.9563
6700	0.000	0.9582
6725	0.000	0.9562
6750	0.000	0.9576
6775	0.000	0.9574
6800	0.000	0.9591
6825	0.000	0.9564
6850	0.000	0.9570
6875	0.000	0.9590
6900	0.000	0.9580
6925	0.050	0.9589
6950	0.000	0.9577
6975	0.000	0.9579
7000	0.000	0.9567
7025	0.000	0.9583
7050	0.000	0.9578
7075	0.000	0.9572
7100	0.000	0.9582
7125	0.050	0.9565
7150	0.000	0.9611
7175	0.000	0.9579
7200	0.000	0.9569
7225	0.000	0.9592
7250	0.000	0.9582
7275	0.000	0.9576
7300	0.000	0.9580
7325	0.000	0.9557
7350	0.000	0.9569
7375	0.000	0.9575
7400	0.000	0.9554
7425	0.000	0.9593
7450	0.000	0.9572
7475	0.000	0.9572
7500	0.000	0.9570
7525	0.000	0.9576
7550	0.000	0.9553
7575	0.000	0.9569
7600	0.000	0.9578
7625	0.000	0.9569
7650	0.000	0.9565
7675	0.000	0.9585
7700	0.000	0.9563
7725	0.000	0.9559
7750	0.000	0.9572
7775	0.000	0.9561
7800	0.000	0.9571
7825	0.000	0.9565
7850	0.050	0.9583
7875	0.000	0.9555
7900	0.000	0.9558
7925	0.000	0.9579
7950	0.000	0.9567
7975	0.000	0.9544
8000	0.000	0.9557
