# tag=p163840_s6 N=163840 epochs=8000 mut=262144 rngseed=6 seedfrac=0.000
# epoch	selfcopy%	entropy4
0	0.050	0.9981
25	0.000	0.9943
50	0.000	0.9924
75	0.000	0.9906
100	0.050	0.9882
125	0.050	0.9879
150	0.000	0.9848
175	0.000	0.9836
200	0.000	0.9812
225	0.000	0.9826
250	0.050	0.9805
275	0.000	0.9789
300	0.050	0.9779
325	0.000	0.9773
350	0.000	0.9747
375	0.100	0.9737
400	0.000	0.9730
425	0.000	0.9723
450	0.000	0.9730
475	0.000	0.9708
500	0.000	0.9702
525	0.000	0.9700
550	0.000	0.9670
575	0.000	0.9681
600	0.000	0.9709
625	0.000	0.9697
650	0.050	0.9682
675	0.000	0.9686
700	0.000	0.9672
725	0.000	0.9677
750	0.000	0.9662
775	0.000	0.9640
800	0.000	0.9660
825	0.000	0.9658
850	0.000	0.9654
875	0.000	0.9637
900	0.050	0.9642
925	0.000	0.9625
950	0.000	0.9625
975	0.000	0.9620
1000	0.050	0.9636
1025	0.050	0.9611
1050	0.050	0.9623
1075	0.000	0.9605
1100	0.000	0.9619
1125	0.050	0.9613
1150	0.000	0.9582
1175	0.000	0.9599
1200	0.000	0.9601
1225	0.000	0.9607
1250	0.050	0.9602
1275	0.000	0.9612
1300	0.000	0.9603
1325	0.000	0.9567
1350	0.000	0.9562
1375	0.000	0.9597
1400	0.050	0.9598
1425	0.000	0.9565
1450	0.050	0.9589
1475	0.050	0.9557
1500	0.000	0.9583
1525	0.000	0.9556
1550	0.000	0.9561
1575	0.000	0.9590
1600	0.000	0.9554
1625	0.000	0.9566
1650	0.000	0.9538
1675	0.000	0.9564
1700	0.000	0.9563
1725	0.000	0.9538
1750	0.000	0.9566
1775	0.000	0.9564
1800	0.000	0.9535
1825	0.000	0.9565
1850	0.000	0.9543
1875	0.000	0.9525
1900	0.050	0.9556
1925	0.000	0.9564
1950	0.000	0.9552
1975	0.000	0.9549
2000	0.000	0.9555
2025	0.000	0.9536
