# tag=p65536_s9 N=65536 epochs=8000 mut=262144 rngseed=9 seedfrac=0.000
# epoch	selfcopy%	entropy4
0	0.000	0.9958
25	0.050	0.9930
50	0.000	0.9918
75	0.000	0.9884
100	0.000	0.9863
125	0.050	0.9830
150	0.000	0.9824
175	0.000	0.9817
200	0.000	0.9799
225	0.000	0.9785
250	0.050	0.9761
275	0.000	0.9737
300	0.000	0.9723
325	0.000	0.9742
350	0.000	0.9738
375	0.050	0.9692
400	0.000	0.9701
425	0.000	0.9693
450	0.000	0.9691
475	0.000	0.9680
500	0.000	0.9667
525	0.000	0.9658
550	0.050	0.9652
575	0.000	0.9639
600	0.000	0.9651
625	0.000	0.9652
650	0.050	0.9627
675	0.000	0.9612
700	0.000	0.9635
725	0.000	0.9620
750	0.000	0.9613
775	0.000	0.9616
800	0.000	0.9646
825	0.000	0.9618
850	0.000	0.9598
875	0.000	0.9601
900	0.050	0.9605
925	0.000	0.9597
950	0.000	0.9599
975	0.000	0.9608
1000	0.000	0.9614
1025	0.000	0.9584
1050	0.000	0.9578
1075	0.000	0.9572
1100	0.000	0.9586
1125	0.000	0.9559
1150	0.000	0.9559
1175	0.000	0.9568
1200	0.000	0.9547
1225	0.000	0.9581
1250	0.000	0.9562
1275	0.000	0.9568
1300	0.000	0.9582
1325	0.000	0.9561
1350	0.050	0.9556
1375	0.000	0.9558
1400	0.150	0.9544
1425	0.000	0.9540
1450	0.000	0.9535
1475	0.000	0.9548
1500	0.000	0.9542
1525	0.000	0.9516
1550	0.000	0.9537
1575	0.000	0.9526
1600	0.000	0.9505
1625	0.000	0.9529
1650	0.000	0.9507
1675	0.000	0.9536
1700	0.000	0.9522
1725	0.000	0.9526
1750	0.000	0.9523
1775	0.000	0.9500
1800	0.000	0.9528
1825	0.000	0.9525
1850	0.000	0.9520
1875	0.050	0.9480
1900	0.000	0.9519
1925	0.000	0.9513
1950	0.050	0.9517
1975	0.000	0.9477
2000	0.050	0.9508
2025	0.000	0.9515
2050	0.000	0.9525
2075	0.000	0.9523
2100	0.000	0.9520
2125	0.000	0.9521
2150	0.000	0.9502
2175	0.000	0.9498
2200	0.050	0.9526
2225	0.000	0.9525
2250	0.000	0.9511
2275	0.050	0.9504
2300	0.000	0.9494
2325	0.000	0.9494
2350	0.000	0.9493
2375	0.000	0.9516
2400	0.000	0.9525
2425	0.050	0.9500
2450	0.000	0.9516
2475	0.000	0.9509
2500	0.000	0.9518
2525	0.000	0.9532
2550	0.000	0.9515
2575	0.000	0.9498
2600	0.000	0.9527
2625	0.000	0.9508
2650	0.000	0.9522
2675	0.000	0.9508
2700	0.050	0.9499
2725	0.000	0.9520
2750	0.000	0.9505
2775	0.000	0.9537
2800	0.000	0.9547
2825	0.000	0.9526
2850	0.000	0.9543
2875	0.000	0.9518
2900	0.000	0.9537
2925	0.050	0.9533
2950	0.000	0.9560
2975	0.050	0.9534
3000	0.000	0.9546
3025	0.000	0.9556
3050	0.000	0.9533
3075	0.000	0.9520
3100	0.000	0.9538
3125	0.000	0.9557
3150	0.000	0.9562
3175	0.050	0.9535
3200	0.000	0.9541
3225	0.050	0.9564
3250	0.000	0.9556
3275	0.000	0.9545
3300	0.050	0.9573
3325	0.050	0.9558
3350	0.000	0.9579
3375	0.050	0.9574
3400	0.050	0.9549
3425	0.050	0.9555
3450	0.000	0.9571
3475	0.000	0.9566
3500	0.050	0.9566
3525	0.050	0.9556
3550	0.000	0.9543
3575	0.050	0.9557
3600	0.050	0.9573
3625	0.000	0.9582
3650	0.000	0.9582
3675	0.050	0.9563
3700	0.050	0.9577
3725	0.000	0.9574
3750	0.000	0.9560
3775	0.000	0.9581
3800	0.000	0.9595
3825	0.000	0.9590
3850	0.000	0.9581
3875	0.000	0.9572
3900	0.000	0.9580
3925	0.000	0.9580
3950	0.000	0.9596
3975	0.050	0.9582
4000	0.000	0.9585
4025	0.000	0.9579
4050	0.050	0.9571
4075	0.000	0.9582
4100	0.000	0.9583
4125	0.000	0.9575
4150	0.000	0.9594
4175	0.000	0.9584
4200	0.000	0.9592
4225	0.000	0.9591
4250	0.000	0.9576
4275	0.000	0.9570
4300	0.000	0.9584
4325	0.000	0.9562
4350	0.050	0.9581
4375	0.000	0.9559
4400	0.000	0.9572
4425	0.000	0.9581
4450	0.000	0.9573
4475	0.000	0.9565
4500	0.050	0.9560
4525	0.000	0.9581
4550	0.050	0.9576
4575	0.000	0.9573
4600	0.000	0.9582
4625	0.000	0.9577
4650	0.000	0.9567
4675	0.000	0.9572
4700	0.000	0.9544
4725	0.000	0.9558
4750	0.000	0.9556
4775	0.000	0.9563
