# tag=p131072_s13 N=131072 epochs=8000 mut=262144 rngseed=13 seedfrac=0.000
# epoch	selfcopy%	entropy4
0	0.050	0.9971
25	0.050	0.9942
50	0.000	0.9908
75	0.000	0.9884
100	0.050	0.9896
125	0.000	0.9845
150	0.050	0.9839
175	0.000	0.9823
200	0.000	0.9836
225	0.000	0.9790
250	0.000	0.9782
275	0.050	0.9769
300	0.000	0.9767
325	0.000	0.9747
350	0.000	0.9769
375	0.000	0.9745
400	0.000	0.9718
425	0.000	0.9723
450	0.000	0.9708
475	0.000	0.9725
500	0.050	0.9715
525	0.750	0.9610
550	8.850	0.8272
575	20.200	0.5362
600	22.100	0.4325
625	20.850	0.4189
650	20.650	0.4208
675	18.850	0.4267
700	20.200	0.4311
725	20.300	0.4358
750	20.450	0.4446
775	20.550	0.4479
800	19.000	0.4557
825	20.800	0.4638
850	19.050	0.4707
875	19.400	0.4760
900	18.100	0.4804
925	17.250	0.4846
950	15.900	0.4937
975	14.600	0.4984
1000	14.950	0.5047
1025	15.150	0.5099
1050	14.850	0.5137
1075	16.850	0.5176
1100	14.250	0.5220
1125	15.650	0.5285
1150	15.400	0.5316
1175	11.400	0.5344
1200	13.300	0.5400
1225	12.100	0.5420
1250	12.850	0.5468
1275	13.700	0.5489
1300	12.150	0.5529
1325	12.350	0.5587
1350	12.050	0.5593
1375	11.450	0.5640
1400	10.450	0.5703
1425	10.850	0.5727
1450	10.600	0.5776
1475	10.550	0.5806
1500	10.350	0.5844
1525	10.150	0.5864
1550	10.450	0.5882
1575	9.650	0.5903
1600	8.450	0.5923
1625	11.500	0.5973
1650	10.000	0.5991
1675	8.250	0.6024
1700	9.300	0.6011
1725	7.400	0.6068
1750	8.000	0.6110
1775	8.600	0.6103
1800	7.450	0.6132
1825	7.200	0.6150
1850	7.400	0.6166
1875	7.500	0.6211
1900	7.600	0.6219
1925	8.350	0.6218
1950	8.000	0.6222
1975	9.700	0.6235
2000	9.100	0.6235
2025	7.550	0.6239
2050	8.750	0.6256
2075	8.800	0.6283
2100	9.300	0.6276
2125	9.000	0.6278
2150	6.950	0.6278
2175	7.600	0.6312
2200	8.100	0.6320
2225	8.300	0.6332
2250	8.550	0.6341
