# tag=p65536_s4 N=65536 epochs=8000 mut=262144 rngseed=4 seedfrac=0.000
# epoch	selfcopy%	entropy4
0	0.000	0.9962
25	0.050	0.9939
50	0.000	0.9909
75	0.000	0.9889
100	0.000	0.9854
125	0.000	0.9842
150	0.000	0.9831
175	0.000	0.9802
200	0.000	0.9812
225	0.000	0.9779
250	0.000	0.9764
275	0.000	0.9770
300	0.050	0.9737
325	0.000	0.9750
350	0.000	0.9747
375	0.000	0.9708
400	0.000	0.9697
425	0.000	0.9708
450	0.000	0.9719
475	0.000	0.9697
500	0.000	0.9701
525	0.000	0.9690
550	0.000	0.9659
575	0.000	0.9672
600	0.000	0.9667
625	0.000	0.9689
650	0.000	0.9635
675	0.000	0.9665
700	0.000	0.9648
725	0.000	0.9635
750	0.000	0.9653
775	0.000	0.9616
800	0.000	0.9630
825	0.000	0.9625
850	0.000	0.9582
875	0.000	0.9604
900	0.000	0.9612
925	0.000	0.9618
950	0.000	0.9584
975	0.000	0.9586
1000	0.050	0.9610
1025	0.000	0.9602
1050	0.000	0.9570
1075	0.000	0.9586
1100	0.000	0.9566
1125	0.000	0.9594
1150	0.000	0.9547
1175	0.000	0.9569
1200	0.050	0.9584
1225	0.000	0.9595
1250	0.000	0.9543
1275	0.000	0.9539
1300	0.000	0.9559
1325	0.000	0.9550
1350	0.000	0.9567
1375	0.000	0.9561
1400	0.000	0.9558
1425	0.000	0.9552
1450	0.000	0.9544
1475	0.000	0.9561
1500	0.000	0.9550
1525	0.000	0.9570
1550	0.000	0.9552
1575	0.050	0.9531
1600	0.000	0.9561
1625	0.000	0.9545
1650	0.000	0.9533
1675	0.000	0.9527
1700	0.000	0.9519
1725	0.000	0.9528
1750	0.000	0.9528
1775	0.000	0.9568
1800	0.000	0.9510
1825	0.050	0.9525
1850	0.000	0.9517
1875	0.000	0.9550
1900	0.050	0.9546
1925	0.050	0.9531
1950	0.050	0.9528
1975	0.000	0.9537
2000	0.050	0.9530
2025	0.000	0.9491
2050	0.050	0.9537
2075	0.050	0.9498
2100	0.000	0.9523
2125	0.000	0.9524
2150	0.000	0.9517
2175	0.000	0.9522
2200	0.000	0.9552
2225	0.000	0.9521
2250	0.000	0.9542
2275	0.000	0.9560
2300	0.000	0.9514
2325	0.000	0.9525
2350	0.000	0.9518
2375	0.000	0.9548
2400	0.000	0.9520
2425	0.000	0.9538
2450	0.000	0.9545
2475	0.000	0.9544
2500	0.000	0.9531
2525	0.000	0.9513
2550	0.050	0.9559
2575	0.000	0.9555
2600	0.000	0.9533
2625	0.000	0.9535
2650	0.050	0.9536
2675	0.050	0.9535
2700	0.000	0.9521
2725	0.050	0.9522
2750	0.000	0.9537
2775	0.050	0.9535
2800	0.000	0.9567
2825	0.000	0.9548
2850	0.000	0.9549
2875	0.000	0.9534
2900	0.000	0.9528
2925	0.000	0.9521
2950	0.000	0.9542
2975	0.000	0.9544
3000	0.000	0.9536
3025	0.000	0.9537
3050	0.000	0.9544
3075	0.050	0.9547
3100	0.000	0.9555
3125	0.000	0.9529
3150	0.000	0.9542
3175	0.000	0.9561
3200	0.000	0.9535
3225	0.050	0.9549
3250	0.000	0.9557
3275	0.000	0.9558
3300	0.000	0.9542
3325	0.050	0.9575
3350	0.000	0.9552
3375	0.000	0.9556
3400	0.000	0.9557
3425	0.000	0.9562
3450	0.000	0.9556
3475	0.050	0.9539
3500	0.000	0.9159
3525	0.000	0.7797
3550	0.050	0.7762
3575	0.000	0.7775
3600	0.000	0.7856
3625	0.050	0.7880
3650	0.050	0.7971
3675	0.000	0.7994
